lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
,,,,,,,,,,,,,,,,,,L2,7,B,1600,B+2,a4,r10,g4,t16,-1,-15,-6,291,11,0,9,23,4,0,-5,3,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,70,-0.5,-0.25,-5.75,-5.25,-5.5,0.35,7,22.82,46.21,22.89,46.28,0,119,53
,,,,,,,,,,,,,,,,,,L1,7,B,1600,B+2,a4,r10,g4,t16,0,-15,-8,291,11,0,9,23,1,-1,-6,7,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,14,-7.75,-2.5,-10.75,-3,-8.25,-1.94,13,24.16,46.95,24.53,47.32,-166,119,125
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g2,r16,g1,t2,0,-26,-4,176,13,0,0,0,0,0,0,5,0,4,0,23.9,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,126,-3.5,-3.75,-3.5,0,0.25,-0.08,6,22.18,45.03,22.83,45.68,0,122,87
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g2,r16,g1,t2,-1,-26,2,176,13,0,0,0,0,-1,0,11,0,4,0,23.9,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,zc,134,-8.25,-12.25,-13.5,-5.25,-1.25,-0.03,10,22.64,45.92,23.36,46.64,0,122,96
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g2,r16,g1,t2,0,-26,0,176,13,0,0,0,0,0,0,5,0,4,0,23.9,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0
,,,,,,,,,,,,,,,,,,L3,5,B,1600,B+2,g2,r17,g5,t21,0,6,4,46,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,126,-5,-4,-0.25,4.75,3.75,0.32,2,22.6,45.25,22.43,45.08,0,122,7.7
,,,,,,,,,,,,,,,,,,L2,5,B,1600,B+2,g2,r17,g5,t21,0,6,-1,46,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,109,-6.75,-4,-1,5.75,3,0.87,2,23.19,47.1,23.02,46.93,0,122,9.7
,,,,,,,,,,,,,,,,,,L1,5,B,1600,B+2,g2,r17,g5,t21,0,6,-1,46,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,81,-5.25,-2,-4.5,0.75,-2.5,0.36,7,23.28,46.8,23.14,46.66,0,122,4.9
,,,,,,,,,,,,,,,,,,L3,4,B,1600,B+2,g1,r15,g1,t3,0,1,0,3.2,14,1,0,0,0,0,0,5,0,0,0,0,0,22.7,22.9,FALSE,FALSE,FALSE,TRUE,TRUE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
,,,,,,,,,,,,,,,,,,L1,4,B,1600,B+2,g1,r15,g1,t3,1,1,-12,3.2,14,1,0,0,-1,-2,8,7,0,0,0,0,0,22.7,22.9,FALSE,FALSE,FALSE,TRUE,TRUE,zc,14,-3.25,-3.75,0.06,3.31,3.81,0.3,2,22.47,45.51,22.44,45.48,0,119,2.4
,,,,,,,,,,,,,,,,,,L2,4,B,1600,B+2,g1,r15,g1,t3,1,1,-13,3.2,14,1,0,0,1,4,4,7,0,0,0,0,0,22.7,22.9,FALSE,FALSE,FALSE,TRUE,TRUE,tz,81,-4.75,-2.5,-0.06,4.69,2.44,-1.16,1,22.19,43.64,22.29,43.74,0,119,4.1
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,g4,r29,g2,t6,1,0,-11,36,2,0,0,0,-1,-1,10,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,134,-7.25,-5,-0.12,7.13,4.88,0.32,2,22.26,44.86,22.01,44.61,0,119,6.5
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,g4,r29,g2,t6,0,0,-4,36,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,81,-2,-1,-9,-7,-8,-0.15,9,23.93,47.81,23.93,47.81,0,119,16
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,g4,r29,g2,t6,0,0,-1,36,2,0,0,0,0,0,2,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,98,-3.5,-2.75,-5.75,-2.25,-3,-0.91,3,23.67,46.55,23.77,46.65,0,119,5.2
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,a3,r5,g2,t8,0,6,0,65,9,0,0,0,-1,0,-2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,67,-4,-3.5,-3,1,0.5,0.65,11,23.43,47.14,23.06,46.77,0,116,30
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,a3,r5,g2,t8,0,6,-2,65,9,0,0,0,0,3,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tz,7,-2.75,-3,-4,-1.25,-1,-2.22,7,22.86,43.4,22.71,43.25,0,116,79
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,a3,r5,g2,t8,1,6,-7,65,9,0,0,0,-1,-1,2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,81,-1.5,-1.5,-0.75,0.75,0.75,1.16,3,22.61,46.48,22.54,46.41,0,116,7.5
,,,,,,,,,,,,,,,,,,L2,6,B,1600,B+2,a2,r7,g1,t1,0,16,0,49,8,0,3,23.2,0,0,1,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,88,-2.75,-2.5,-1.5,1.25,1,0.9,6,22.92,46.72,22.9,46.7,0,116,7.5
,,,,,,,,,,,,,,,,,,L1,6,B,1600,B+2,a2,r7,g1,t1,0,16,-1,49,8,0,3,23.2,-1,0,2,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,67,-5.25,-4.75,-2.5,2.75,2.25,0.93,6,23.15,46.86,22.76,46.47,0,116,7
,,,,,,,,,,,,,,,,,,L3,6,B,1600,B+2,a2,r7,g1,t1,1,16,-17,49,8,0,3,23.2,0,1,0,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,109,-1.75,-1,-0.06,1.69,0.94,0.06,8,23.96,48.08,23.64,47.76,0,116,6.5
,,,,,,,,,,,,,,,,,,L2,8,B,1600,B+2,a3,r6,g4,t14,1,-12,-15,88,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,207,-8.25,-6,-4.5,3.75,1.5,0.69,3,22.16,45.83,22.61,46.28,0,113,10
,,,,,,,,,,,,,,,,,,L3,8,B,1600,B+2,a3,r6,g4,t14,1,-12,-18,88,1,0,0,0,0,-1,6,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,221,-5,-3.75,-1.25,3.75,2.5,1.7,1,21.45,45.55,21.95,46.05,0,113,10
,,,,,,,,,,,,,,,,,,L1,8,B,1600,B+2,a3,r6,g4,t14,1,-12,-18,88,1,0,0,0,0,0,6,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,158,-5.5,-4.25,-1.25,4.25,3,0.58,1,22.07,45.47,22.37,45.77,0,113,31
,,,,,,,,,,,,,,,,,,L3,7,A,1650,C,a1,r1,g2,t9,-1,21,13,19,6,1,0,0,0,0,0,5,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,115,-4.25,-3.5,-2.25,2,1.25,-0.62,8,24.03,47.19,24.1,47.26,5,130,24
,,,,,,,,,,,,,,,,,,L2,7,A,1650,C,a1,r1,g2,t9,-1,21,17,19,6,1,0,0,0,0,0,5,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,94,-6.75,-4.75,-7.25,-0.5,-2.5,0.09,8,23.87,47.23,23.69,47.05,8,130,27
,,,,,,,,,,,,,,,,,,L1,7,A,1650,C,a1,r1,g2,t9,0,21,7,19,6,1,0,0,1,0,1,9,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,63,-7,-5,-3.25,3.75,1.75,0.18,6,24.79,49.06,24.26,48.53,13,130,32
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C,g1,r15,g2,t7,0,3,2,4.5,8,1,0,0,0,1,0,3,2,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,tc,119,-2.25,-1.25,-1.25,1,0,0.02,8,23.95,47.52,23.6,47.17,0,130,5.8
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C,g1,r15,g2,t7,0,3,4,4.5,8,1,0,0,0,0,-1,1,2,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,tc,140,0.75,1,-0.75,-1.5,-1.75,0.36,5,23.89,47.99,23.84,47.94,0,130,5.1
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C,g1,r15,g2,t7,0,3,-1,4.5,8,1,0,0,0,-1,-9,1,2,0,23.1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,tc,84,0.75,-0.25,-11.75,-12.5,-11.5,-1.31,12,25.42,49.48,25.35,49.41,0,130,7.8
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C,g2,r17,g3,t10,0,19,0,8.7,7,1,5,22.7,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,119,-0.75,-1.5,-2.5,-1.75,-1,-0.77,10,25.35,49.51,24.93,49.09,0,130,9.1
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C,g2,r17,g3,t10,0,19,2,8.7,7,1,5,22.7,-1,2,-1,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,84,-1.75,-1.5,-0.5,1.25,1,0.7,6,24.26,48.7,23.79,48.23,0,130,7.1
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C,g2,r17,g3,t10,0,19,8,8.7,7,1,5,22.7,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,161,-2,-1.5,-1.25,0.75,0.25,0.26,8,24.75,49.21,24.4,48.86,20.3,130,29
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g3,r24,g3,t12,0,12,3,5.2,2,0,0,0,2,0,0,3,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,101,-0.75,-0.25,-0.25,0.5,0,-0.37,5,24.51,48.7,24.63,48.82,0,126,4.9
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g3,r24,g3,t12,0,12,1,5.2,2,0,0,0,-3,0,4,7,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,10,-4.25,-3.75,-3,1.25,0.75,-0.08,3,23.55,46.7,23.25,46.4,5.8,126,11
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g3,r24,g3,t12,0,12,1,5.2,2,0,0,0,0,0,-6,3,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,73,-3,-1.75,-8,-5,-6.25,-0.9,12,24.72,48.34,24.54,48.16,0,126,5.2
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g1,r14,g5,t20,0,-7,-3,8.6,4,1,0,0,0,6,6,9,4,0,24,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gz,154,-5,-6.5,-3.25,1.75,3.25,-0.46,2,23.13,45.82,23.08,45.77,33.4,124,42
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g1,r14,g5,t20,0,-7,-7,8.6,4,1,0,0,0,0,0,9,4,0,24,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gz,175,-6.75,-4.75,-2.5,4.25,2.25,-1.07,2,23.53,46.06,23.43,45.96,15.4,124,24
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g1,r14,g5,t20,0,-7,0,8.6,4,1,0,0,0,-6,-6,3,4,0,24,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,gz,133,-2.5,-2.25,-13.25,-10.75,-11,-3.29,11,25.62,48.12,25.79,48.29,18.4,124,27
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g1,r13,g1,t2,0,1,-1,5.1,5,0,0,0,0,0,2,7,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,7,-4.75,-4,-4.75,0,-0.75,0.86,6,23.05,46.96,23.03,46.94,0,124,4.7
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g1,r13,g1,t2,0,1,-2,5.1,5,0,0,0,1,0,-1,5,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,73,-4.5,-2.25,-7,-2.5,-4.75,-0.8,10,24.31,47.77,24.21,47.67,32.9,124,38
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g1,r13,g1,t2,0,1,-4,5.1,5,0,0,0,1,4,3,9,0,0,0,0,0,22.3,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,87,-3,-3.25,-4,-1,-0.75,0.16,5,24.36,48.63,24.01,48.28,47.9,124,53
,,,,,,,,,,,,,,,,,,L1,7,A,1650,C,a3,r6,g3,t13,0,-11,1,9.5,3,0,0,0,0,-1,2,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,84,-8.75,-10,-9.5,-0.75,0.5,0.75,4,23.22,47.44,23.49,47.71,0,120,8
,,,,,,,,,,,,,,,,,,L2,7,A,1650,C,a3,r6,g3,t13,0,-11,-5,9.5,3,0,0,0,-2,-1,2,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,108,-4,-4.75,-4,0,0.75,0.27,6,22.63,46.1,23.08,46.55,85.5,120,95
,,,,,,,,,,,,,,,,,,L3,7,A,1650,C,a3,r6,g3,t13,0,-11,-8,9.5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,119,-2,-3.5,-13.5,-11.5,-10,-1.75,11,25.73,50.13,25.95,50.35,23.5,120,33
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C,a2,r4,g1,t1,0,28,-6,42,9,0,0,0,0,0,2,7,0,3,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,140,-4,-4.25,-2,2,2.25,0.09,5,23.99,47.65,23.42,47.08,0,120,7.1
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C,a2,r4,g1,t1,0,28,-3,42,9,0,0,0,1,-1,0,3,0,3,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,108,-1.25,-1.5,-1.5,-0.25,0,0.09,8,23.75,47.14,23.23,46.62,0,120,12
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C,a2,r4,g1,t1,0,28,-3,42,9,0,0,0,2,-3,1,9,0,3,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,87,-4,-4,-7.25,-3.25,-3.25,-0.25,10,25.1,49.33,24.41,48.64,0,120,14
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C,g2,r16,g5,t18,0,14,0,6.2,10,1,0,0,-1,0,5,9,0,0,0,0,23.1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,63,-7.25,-6.25,-1.75,5.5,4.5,0.78,2,24,48.43,23.65,48.08,0,120,6.3
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C,g2,r16,g5,t18,0,14,-5,6.2,10,1,0,0,0,-1,-3,3,0,0,0,0,23.1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,105,-1,-1.25,-3,-2,-1.75,-0.26,11,24.5,48.69,24.33,48.52,0,120,6.6
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C,g2,r16,g5,t18,0,14,-2,6.2,10,1,0,0,0,0,3,9,0,0,0,0,23.1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,84,-5.25,-4,-1.75,3.5,2.25,0.73,4,23.9,48.18,23.5,47.78,0,120,8.5
,,,,,,,,,,,,,,,,,,L2,8,A,1650,C,a2,r7,g3,t13,0,13,-5,28,1,0,0,0,2,0,0,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gz,84,-8.25,-6.25,-3.75,4.5,2.5,-0.01,5,22.21,45.01,22.69,45.49,0,118,16
,,,,,,,,,,,,,,,,,,L1,8,A,1650,C,a2,r7,g3,t13,0,13,-1,28,1,0,0,0,-1,5,5,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gz,7,-4.5,-5.75,-5.75,-1.25,0,-0.95,5,23.88,46.51,23.56,46.19,0,118,21
,,,,,,,,,,,,,,,,,,L3,8,A,1650,C,a2,r7,g3,t13,0,13,-1,28,1,0,0,0,1,-1,-7,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,105,-1.75,-3.25,-11,-9.25,-7.75,-1.01,12,24.98,49.37,25.38,49.77,0,118,49
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g1,r13,g1,t2,0,6,3,8.8,5,0,0,0,1,-1,9,11,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,77,-8.75,-6.25,-3.25,5.5,3,-0.38,1,23.12,46.18,23.51,46.57,1.2,131,10
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g1,r13,g1,t2,0,6,1,8.8,5,0,0,0,0,0,0,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,101,-6.25,-4,-4.75,1.5,-0.75,-0.31,5,24.38,48.45,24.4,48.47,15.2,131,24
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g1,r13,g1,t2,0,6,3,8.8,5,0,0,0,-1,2,5,7,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,10,-3.75,-3,0.75,4.5,3.75,0.09,2,23.35,46.57,23.2,46.42,0,131,2.6
,,,,,,,,,,,,,,,,,,L3,8,A,1650,C,a1,r2,g3,t10,-1,-5,7,17,9,1,0,0,0,-1,-4,3,0,3,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,zc,101,-1.25,-1.75,-5.5,-4.25,-3.75,-0.78,10,24.96,49.31,25.3,49.65,57,121,74
,,,,,,,,,,,,,,,,,,L1,8,A,1650,C,a1,r2,g3,t10,0,-5,-12,17,9,1,0,0,0,0,0,5,0,3,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ss,63,-2,-1.75,-4.5,-2.5,-2.75,0.9,12,23.83,48.98,23.95,49.1,0,121,13
,,,,,,,,,,,,,,,,,,L2,8,A,1650,C,a1,r2,g3,t10,-1,-5,4,17,9,1,0,0,0,0,0,5,0,3,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,77,-0.25,-0.5,-8.75,-8.5,-8.25,-1.16,11,24.82,48.88,25.32,49.38,89,121,106
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g1,r15,g3,t11,0,40,0,2.5,6,1,0,0,0,0,5,7,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,154,-4,-3.5,-0.06,3.94,3.44,1.04,2,24.63,49.25,23.58,48.2,16.5,131,19
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g1,r15,g3,t11,0,40,-1,2.5,6,1,0,0,-2,-4,8,9,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,98,-4.5,-4.75,-1.75,2.75,3,1,1,24.8,49.63,23.81,48.64,0,131,5.6
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g1,r15,g3,t11,-1,40,18,2.5,6,1,0,0,0,0,5,9,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,119,-8.25,-8.75,-3.75,4.5,5,1.04,1,24.22,48.03,23.22,47.03,10.5,131,13
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g2,r17,g4,t15,0,0,6,17,4,1,7,23.6,0,0,0,5,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,221,-8,-5.25,-9,-1,-3.75,-0.04,13,23.98,48.14,24.35,48.51,6,131,23
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g2,r17,g4,t15,0,0,8,17,4,1,7,23.6,0,2,0,3,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,175,-1.75,0.75,2,3.75,-1.25,0.05,3,24.43,48.69,24.41,48.67,0,131,9.9
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g2,r17,g4,t15,0,0,1,17,4,1,7,23.6,1,1,-1,9,0,1,0,23.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,98,-5.25,-3.5,-7.5,-2.25,-4,-0.46,9,24.99,49.5,24.99,49.5,0,131,14
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C,g4,r30,g5,t22,-1,8,16,23,10,1,0,0,4,-3,-7,3,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,164,0.06,-1.5,-8,-8.06,-6.5,-1.02,12,25.67,49.62,25.37,49.32,97,129,120
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C,g4,r30,g5,t22,0,8,10,23,10,1,0,0,0,0,0,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,ss,63,-0.75,-1.5,-1.25,-0.5,0.25,1.2,8,24.44,49.63,24.24,49.43,0,129,10
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C,g4,r30,g5,t22,0,8,-1,23,10,1,0,0,0,-5,6,7,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,94,-4.5,-5,-6.25,-1.75,-1.25,-0.29,3,23.69,47.14,23.72,47.17,0,129,19
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C,g4,r29,NULL,NULL,-1,-33,14,45,12,1,0,0,0,-2,-1,9,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,105,-8.5,-6.25,-16.25,-7.75,-10,-1.35,11,25.15,49.42,25.97,50.24,0,128,40
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C,g4,r29,NULL,NULL,-1,-33,7,45,12,1,0,0,-1,-1,0,11,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,136,-8.25,-8.75,-8.25,0,0.5,0,9,22.79,46.08,23.46,46.75,0,128,65
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C,g4,r29,NULL,NULL,-1,-33,12,45,12,1,0,0,0,0,0,5,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,130,-6,-3.5,-5,1,-1.5,-0.46,9,24.07,47.93,24.62,48.48,107,128,152
,,,,,,,,,,,,,,,,,,L2,9,A,1650,C,g2,r18,g5,t18,0,0,-5,14,7,1,0,0,1,2,2,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,98,-4,-2,-1.5,2.5,0.5,0.25,4,24.44,48.91,24.1,48.57,0,128,13
,,,,,,,,,,,,,,,,,,L3,9,A,1650,C,g2,r18,g5,t18,-1,0,14,14,7,1,0,0,0,0,1,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,119,-8.5,-9.5,-6.5,2,3,0.8,2,23.76,47.65,23.44,47.33,9,128,23
,,,,,,,,,,,,,,,,,,L1,9,A,1650,C,g2,r18,g5,t18,0,0,-1,14,7,1,0,0,1,-1,-1,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,66,-4,-2.75,-4.5,-0.5,-1.75,-0.75,9,23.9,47.07,23.9,47.07,0,128,14
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C,g3,r24,g5,t21,0,9,6,49,2,1,0,0,0,0,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,122,-7.25,-9,-7,0.25,2,-0.3,3,23.88,47.09,23.66,46.87,0,125,6.7
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C,g3,r24,g5,t21,0,9,-2,49,2,1,0,0,0,0,0,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,192,-14.25,-14.25,-20,-5.75,-5.75,-1.15,13,24.61,47.95,24.44,47.78,87,125,136
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C,g3,r24,g5,t21,0,9,-3,49,2,1,0,0,0,0,8,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,130,-11.5,-7,-3.75,7.75,3.25,0.98,1,23.05,46.98,22.88,46.81,61,125,110
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C,a1,r1,g2,t7,0,-12,8,7.2,11,0,0,0,1,0,-4,1,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,3,0.06,2,-2.75,-2.81,-4.75,-1.78,9,24.8,47.92,25.1,48.22,2.8,125,10
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C,a1,r1,g2,t7,0,-12,5,7.2,11,0,0,0,0,0,-1,3,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,77,-2.25,-2,-3,-0.75,-1,-0.63,7,24.17,47.59,24.17,47.59,0,125,5
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C,a1,r1,g2,t7,0,-12,10,7.2,11,0,0,0,0,0,1,3,0,0,0,0,22.7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,66,-2,-1.25,-1,1,0.25,-0.34,5,24.11,47.36,23.84,47.09,0,125,4.6
,,,,,,,,,,,,,,,,,,L1,7,A,1650,C,g2,r16,g4,t16,0,-5,-1,21,3,1,0,0,1,6,6,11,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,tz,10,-9,-5.25,-2.75,6.25,2.5,-1.3,4,23.08,45.01,23.21,45.14,0,121,22
,,,,,,,,,,,,,,,,,,L3,7,A,1650,C,g2,r16,g4,t16,0,-5,-7,21,3,1,0,0,-1,-3,-3,5,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,gz,147,-2,-2.25,-3.75,-1.75,-1.5,-0.71,9,22.95,45.84,23.43,46.32,0,121,16
,,,,,,,,,,,,,,,,,,L2,7,A,1650,C,g2,r16,g4,t16,0,-5,-5,21,3,1,0,0,0,0,-1,5,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,77,-3.5,-3,-3.75,-0.25,-0.75,-0.66,6,23.79,47.17,23.92,47.3,0,121,14
